#miRNA	read_count
bta-miR-105a	0
bta-miR-105b	0
bta-miR-106a	0
bta-miR-107	0
bta-miR-1179	0
bta-miR-1185	0
bta-miR-1193	0
bta-miR-1197	0
bta-miR-1224	0
bta-miR-1225-3p	0
bta-miR-1247-5p	0
bta-miR-1247-3p	0
bta-miR-1248	0
bta-miR-1248	0
bta-miR-1249	0
bta-miR-124a	0
bta-miR-124b	0
bta-miR-124a	0
bta-miR-124b	0
bta-miR-124a	0
bta-miR-124b	0
bta-miR-1251	0
bta-miR-1256	0
bta-miR-125a	0
bta-miR-126-5p	0
bta-miR-126-3p	0
bta-miR-1260b	0
bta-miR-127	0
bta-miR-1271	0
bta-miR-1277	0
bta-miR-1281	0
bta-miR-1282	0
bta-miR-1284	0
bta-miR-1287	0
bta-miR-129	0
bta-miR-129-5p	0
bta-miR-129	0
bta-miR-129-5p	0
bta-miR-129-3p	0
bta-miR-1291	0
bta-miR-1296	0
bta-miR-1298	0
bta-miR-1301	0
bta-miR-1307	0
bta-miR-130a	0
bta-miR-130b	0
bta-miR-133a	0
bta-miR-133a	0
bta-miR-133b	0
bta-miR-133c	0
bta-miR-1343-5p	0
bta-miR-1343-3p	0
bta-miR-135b	0
bta-miR-136	0
bta-miR-137	0
bta-miR-138	0
bta-miR-138	0
bta-miR-1388-5p	0
bta-miR-1388-3p	0
bta-miR-141	0
bta-miR-142-5p	0
bta-miR-142-3p	0
bta-miR-143	0
bta-miR-1434-5p	0
bta-miR-1434-3p	0
bta-miR-144	0
bta-miR-145	0
bta-miR-1468	0
bta-miR-147	0
bta-miR-149-5p	0
bta-miR-149-3p	0
bta-miR-153	0
bta-miR-153	0
bta-miR-154a	0
bta-miR-154b	0
bta-miR-154c	0
bta-miR-155	0
bta-miR-1584-5p	0
bta-miR-1584-3p	0
bta-miR-15a	0
bta-miR-1603	0
bta-miR-17-3p	0
bta-miR-1721	0
bta-miR-1777a	0
bta-miR-1777b	0
bta-miR-1814a	0
bta-miR-1814b	0
bta-miR-1814c	0
bta-miR-181b	0
bta-miR-181b	0
bta-miR-181c	0
bta-miR-1835	0
bta-miR-1842	0
bta-miR-1843	0
bta-miR-185	0
bta-miR-187	0
bta-miR-188	0
bta-miR-18a	0
bta-miR-18b	0
bta-miR-190a	0
bta-miR-193a-5p	0
bta-miR-193a-3p	0
bta-miR-193a	0
bta-miR-193b	0
bta-miR-196b	0
bta-miR-197	0
bta-miR-199a-5p	0
bta-miR-199a-3p	0
bta-miR-199c	0
bta-miR-199a-5p	0
bta-miR-199a-3p	0
bta-miR-199c	0
bta-miR-199a-3p	0
bta-miR-199b	0
bta-miR-199c	0
bta-miR-199c	0
bta-miR-205	0
bta-miR-206	0
bta-miR-208a	0
bta-miR-208b	0
bta-miR-20b	0
bta-miR-21-3p	0
bta-miR-210	0
bta-miR-214	0
bta-miR-215	0
bta-miR-216a	0
bta-miR-217	0
bta-miR-218	0
bta-miR-218	0
bta-miR-219-5p	0
bta-miR-219-3p	0
bta-miR-219	0
bta-miR-22-5p	0
bta-miR-221	0
bta-miR-222	0
bta-miR-223	0
