#miRNA	read_count	precursor	total	F01	F02	F03	F01(norm)	F02(norm)	F03(norm)
bta-let-7a-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	11554.97	26533.52	23372.89
bta-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	990.43	285.31	359.58
bta-let-7a-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	11554.97	26533.52	23013.30
bta-let-7a-5p	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	11554.97	26248.22	23013.30
bta-let-7a-3p	5.00	bta-let-7a-3	5.00	3.00	1.00	1.00	990.43	285.31	359.58
bta-let-7b	9.00	bta-let-7b	9.00	6.00	3.00	0	1980.85	855.92	0
bta-let-7c	9.00	bta-let-7c	9.00	0	6.00	3.00	0	1711.84	1078.75
bta-let-7d	4.00	bta-let-7d	4.00	1.00	1.00	2.00	330.14	285.31	719.17
bta-let-7e	6.00	bta-let-7e	6.00	1.00	3.00	2.00	330.14	855.92	719.17
bta-let-7f	43.00	bta-let-7f-1	43.00	10.00	19.00	14.00	3301.42	5420.83	5034.16
bta-let-7f	46.00	bta-let-7f-2	46.00	12.00	19.00	15.00	3961.70	5420.83	5393.74
bta-let-7g	86.00	bta-let-7g	86.00	15.00	42.00	29.00	4952.13	11982.88	10427.90
bta-let-7i	37.00	bta-let-7i	37.00	17.00	12.00	8.00	5612.41	3423.68	2876.66
bta-miR-1	3.00	bta-mir-1-1	3.00	2.00	0	1.00	660.28	0	359.58
bta-miR-1	3.00	bta-mir-1-2	3.00	2.00	0	1.00	660.28	0	359.58
bta-miR-100	2674.00	bta-mir-100	2674.00	967.00	1051.00	656.00	319247.28	299857.35	235886.37
bta-miR-101	70.00	bta-mir-101-1	70.00	17.00	24.00	29.00	5612.41	6847.36	10427.90
bta-miR-101	75.00	bta-mir-101-2	75.00	19.00	26.00	30.00	6272.70	7417.97	10787.49
bta-miR-103	13.00	bta-mir-103-1	13.00	4.00	3.00	6.00	1320.57	855.92	2157.50
bta-miR-103	13.00	bta-mir-103-2	13.00	4.00	3.00	6.00	1320.57	855.92	2157.50
bta-miR-105a	0.00	bta-mir-105a	0.00	0	0	0	0	0	0
bta-miR-105b	0.00	bta-mir-105b	0.00	0	0	0	0	0	0
bta-miR-106a	0.00	bta-mir-106a	0.00	0	0	0	0	0	0
bta-miR-106b	2.00	bta-mir-106b	2.00	0	1.00	1.00	0	285.31	359.58
bta-miR-107	0.00	bta-mir-107	0.00	0	0	0	0	0	0
bta-miR-10a	30.00	bta-mir-10a	30.00	20.00	6.00	4.00	6602.84	1711.84	1438.33
bta-miR-10b	31.00	bta-mir-10b	31.00	11.00	11.00	9.00	3631.56	3138.37	3236.25
bta-miR-1179	0.00	bta-mir-1179	0.00	0	0	0	0	0	0
bta-miR-1185	0.00	bta-mir-1185	0.00	0	0	0	0	0	0
bta-miR-1193	0.00	bta-mir-1193	0.00	0	0	0	0	0	0
bta-miR-1197	0.00	bta-mir-1197	0.00	0	0	0	0	0	0
bta-miR-122	21.00	bta-mir-122	21.00	5.00	11.00	5.00	1650.71	3138.37	1797.91
bta-miR-1224	0.00	bta-mir-1224	0.00	0	0	0	0	0	0
bta-miR-1225-3p	0.00	bta-mir-1225	0.00	0	0	0	0	0	0
bta-miR-1246	93.00	bta-mir-1246	93.00	35.00	26.00	32.00	11554.97	7417.97	11506.65
bta-miR-1247-5p	0.00	bta-mir-1247	0.00	0	0	0	0	0	0
bta-miR-1247-3p	0.00	bta-mir-1247	0.00	0	0	0	0	0	0
bta-miR-1248	0.00	bta-mir-1248-1	0.00	0	0	0	0	0	0
bta-miR-1248	0.00	bta-mir-1248-2	0.00	0	0	0	0	0	0
bta-miR-1249	0.00	bta-mir-1249	0.00	0	0	0	0	0	0
bta-miR-124a	0.00	bta-mir-124a-1	0.00	0	0	0	0	0	0
bta-miR-124b	0.00	bta-mir-124a-1	0.00	0	0	0	0	0	0
bta-miR-124a	0.00	bta-mir-124a-2	0.00	0	0	0	0	0	0
bta-miR-124b	0.00	bta-mir-124a-2	0.00	0	0	0	0	0	0
bta-miR-124a	0.00	bta-mir-124b	0.00	0	0	0	0	0	0
bta-miR-124b	0.00	bta-mir-124b	0.00	0	0	0	0	0	0
bta-miR-1251	0.00	bta-mir-1251	0.00	0	0	0	0	0	0
bta-miR-1256	0.00	bta-mir-1256	0.00	0	0	0	0	0	0
bta-miR-125a	0.00	bta-mir-125a	0.00	0	0	0	0	0	0
bta-miR-125b	47.00	bta-mir-125b-1	47.00	10.00	22.00	15.00	3301.42	6276.75	5393.74
bta-miR-125b	46.00	bta-mir-125b-2	46.00	9.00	22.00	15.00	2971.28	6276.75	5393.74
bta-miR-126-5p	0.00	bta-mir-126	0.00	0	0	0	0	0	0
bta-miR-126-3p	0.00	bta-mir-126	0.00	0	0	0	0	0	0
bta-miR-1260b	0.00	bta-mir-1260b	0.00	0	0	0	0	0	0
bta-miR-127	0.00	bta-mir-127	0.00	0	0	0	0	0	0
bta-miR-1271	0.00	bta-mir-1271	0.00	0	0	0	0	0	0
bta-miR-1277	0.00	bta-mir-1277	0.00	0	0	0	0	0	0
bta-miR-128	41.00	bta-mir-128-1	41.00	12.00	15.00	14.00	3961.70	4279.60	5034.16
bta-miR-128	14.00	bta-mir-128-2	14.00	5.00	4.00	5.00	1650.71	1141.23	1797.91
bta-miR-1281	0.00	bta-mir-1281	0.00	0	0	0	0	0	0
bta-miR-1282	0.00	bta-mir-1282	0.00	0	0	0	0	0	0
bta-miR-1284	0.00	bta-mir-1284	0.00	0	0	0	0	0	0
bta-miR-1287	0.00	bta-mir-1287	0.00	0	0	0	0	0	0
bta-miR-129	0.00	bta-mir-129-1	0.00	0	0	0	0	0	0
bta-miR-129-5p	0.00	bta-mir-129-1	0.00	0	0	0	0	0	0
bta-miR-129	0.00	bta-mir-129-2	0.00	0	0	0	0	0	0
bta-miR-129-5p	0.00	bta-mir-129-2	0.00	0	0	0	0	0	0
bta-miR-129-3p	0.00	bta-mir-129-2	0.00	0	0	0	0	0	0
bta-miR-1291	0.00	bta-mir-1291	0.00	0	0	0	0	0	0
bta-miR-1296	0.00	bta-mir-1296	0.00	0	0	0	0	0	0
bta-miR-1298	0.00	bta-mir-1298	0.00	0	0	0	0	0	0
bta-miR-1301	0.00	bta-mir-1301	0.00	0	0	0	0	0	0
bta-miR-1306	1.00	bta-mir-1306	1.00	1.00	0	0	330.14	0	0
bta-miR-1307	0.00	bta-mir-1307	0.00	0	0	0	0	0	0
bta-miR-130a	0.00	bta-mir-130a	0.00	0	0	0	0	0	0
bta-miR-130b	0.00	bta-mir-130b	0.00	0	0	0	0	0	0
bta-miR-132	11.00	bta-mir-132	11.00	3.00	4.00	4.00	990.43	1141.23	1438.33
bta-miR-133a	0.00	bta-mir-133a-1	0.00	0	0	0	0	0	0
bta-miR-133a	0.00	bta-mir-133a-2	0.00	0	0	0	0	0	0
bta-miR-133b	0.00	bta-mir-133b	0.00	0	0	0	0	0	0
bta-miR-133c	0.00	bta-mir-133c	0.00	0	0	0	0	0	0
bta-miR-134	1.00	bta-mir-134	1.00	0	1.00	0	0	285.31	0
bta-miR-1343-5p	0.00	bta-mir-1343	0.00	0	0	0	0	0	0
bta-miR-1343-3p	0.00	bta-mir-1343	0.00	0	0	0	0	0	0
bta-miR-135a	2.00	bta-mir-135a-1	2.00	0	1.00	1.00	0	285.31	359.58
bta-miR-135a	2.00	bta-mir-135a-2	2.00	0	1.00	1.00	0	285.31	359.58
bta-miR-135b	0.00	bta-mir-135b	0.00	0	0	0	0	0	0
bta-miR-136	0.00	bta-mir-136	0.00	0	0	0	0	0	0
bta-miR-137	0.00	bta-mir-137	0.00	0	0	0	0	0	0
bta-miR-138	0.00	bta-mir-138-1	0.00	0	0	0	0	0	0
bta-miR-138	0.00	bta-mir-138-2	0.00	0	0	0	0	0	0
bta-miR-1388-5p	0.00	bta-mir-1388	0.00	0	0	0	0	0	0
bta-miR-1388-3p	0.00	bta-mir-1388	0.00	0	0	0	0	0	0
bta-miR-139	7.00	bta-mir-139	7.00	1.00	3.00	3.00	330.14	855.92	1078.75
bta-miR-140	6.00	bta-mir-140	6.00	3.00	1.00	2.00	990.43	285.31	719.17
bta-miR-141	0.00	bta-mir-141	0.00	0	0	0	0	0	0
bta-miR-142-5p	0.00	bta-mir-142	0.00	0	0	0	0	0	0
bta-miR-142-3p	0.00	bta-mir-142	0.00	0	0	0	0	0	0
bta-miR-143	0.00	bta-mir-143	0.00	0	0	0	0	0	0
bta-miR-1434-5p	0.00	bta-mir-1434	0.00	0	0	0	0	0	0
bta-miR-1434-3p	0.00	bta-mir-1434	0.00	0	0	0	0	0	0
bta-miR-144	0.00	bta-mir-144	0.00	0	0	0	0	0	0
bta-miR-145	0.00	bta-mir-145	0.00	0	0	0	0	0	0
bta-miR-1468	0.00	bta-mir-1468	0.00	0	0	0	0	0	0
bta-miR-146a	53.00	bta-mir-146a	53.00	17.00	13.00	23.00	5612.41	3708.99	8270.41
bta-miR-146b	61.00	bta-mir-146b	61.00	18.00	23.00	20.00	5942.56	6562.05	7191.66
bta-miR-147	0.00	bta-mir-147	0.00	0	0	0	0	0	0
bta-miR-148a	338.00	bta-mir-148a	338.00	164.00	115.00	59.00	54143.28	32810.27	21215.39
bta-miR-148b	17.00	bta-mir-148b	17.00	9.00	3.00	5.00	2971.28	855.92	1797.91
bta-miR-149-5p	0.00	bta-mir-149	0.00	0	0	0	0	0	0
bta-miR-149-3p	0.00	bta-mir-149	0.00	0	0	0	0	0	0
bta-miR-150	1.00	bta-mir-150	1.00	0	1.00	0	0	285.31	0
bta-miR-151-5p	2.00	bta-mir-151	2.00	2.00	0	0	660.28	0	0
bta-miR-151-3p	33.00	bta-mir-151	33.00	9.00	13.00	11.00	2971.28	3708.99	3955.41
bta-miR-152	5.00	bta-mir-152	5.00	3.00	1.00	1.00	990.43	285.31	359.58
bta-miR-153	0.00	bta-mir-153-1	0.00	0	0	0	0	0	0
bta-miR-153	0.00	bta-mir-153-2	0.00	0	0	0	0	0	0
bta-miR-154a	0.00	bta-mir-154a	0.00	0	0	0	0	0	0
bta-miR-154b	0.00	bta-mir-154b	0.00	0	0	0	0	0	0
bta-miR-154c	0.00	bta-mir-154c	0.00	0	0	0	0	0	0
bta-miR-155	0.00	bta-mir-155	0.00	0	0	0	0	0	0
bta-miR-1584-5p	0.00	bta-mir-1584	0.00	0	0	0	0	0	0
bta-miR-1584-3p	0.00	bta-mir-1584	0.00	0	0	0	0	0	0
bta-miR-15a	0.00	bta-mir-15a	0.00	0	0	0	0	0	0
bta-miR-15b	5.00	bta-mir-15b	5.00	3.00	1.00	1.00	990.43	285.31	359.58
bta-miR-1603	0.00	bta-mir-1603	0.00	0	0	0	0	0	0
bta-miR-16a	16.00	bta-mir-16a	16.00	7.00	5.00	4.00	2310.99	1426.53	1438.33
bta-miR-16b	26.00	bta-mir-16b	26.00	10.00	8.00	8.00	3301.42	2282.45	2876.66
bta-miR-17-5p	8.00	bta-mir-17	8.00	1.00	3.00	4.00	330.14	855.92	1438.33
bta-miR-17-3p	0.00	bta-mir-17	0.00	0	0	0	0	0	0
bta-miR-1721	0.00	bta-mir-1721	0.00	0	0	0	0	0	0
bta-miR-1777a	0.00	bta-mir-1777a	0.00	0	0	0	0	0	0
