#miRNA	read_count	precursor
bta-let-7a-5p	193	bta-let-7a-1
bta-let-7a-3p	5	bta-let-7a-1
bta-let-7a-5p	192	bta-let-7a-2
bta-let-7a-5p	191	bta-let-7a-3
bta-let-7a-3p	5	bta-let-7a-3
bta-let-7b	9	bta-let-7b
bta-let-7c	9	bta-let-7c
bta-let-7d	4	bta-let-7d
bta-let-7e	6	bta-let-7e
bta-let-7f	43	bta-let-7f-1
bta-let-7f	46	bta-let-7f-2
bta-let-7g	86	bta-let-7g
bta-let-7i	37	bta-let-7i
bta-miR-1	3	bta-mir-1-1
bta-miR-1	3	bta-mir-1-2
bta-miR-100	2674	bta-mir-100
bta-miR-101	70	bta-mir-101-1
bta-miR-101	75	bta-mir-101-2
bta-miR-103	13	bta-mir-103-1
bta-miR-103	13	bta-mir-103-2
bta-miR-105a	0	bta-mir-105a
bta-miR-105b	0	bta-mir-105b
bta-miR-106a	0	bta-mir-106a
bta-miR-106b	2	bta-mir-106b
bta-miR-107	0	bta-mir-107
bta-miR-10a	30	bta-mir-10a
bta-miR-10b	31	bta-mir-10b
bta-miR-1179	0	bta-mir-1179
bta-miR-1185	0	bta-mir-1185
bta-miR-1193	0	bta-mir-1193
bta-miR-1197	0	bta-mir-1197
bta-miR-122	21	bta-mir-122
bta-miR-1224	0	bta-mir-1224
bta-miR-1225-3p	0	bta-mir-1225
bta-miR-1246	93	bta-mir-1246
bta-miR-1247-5p	0	bta-mir-1247
bta-miR-1247-3p	0	bta-mir-1247
bta-miR-1248	0	bta-mir-1248-1
bta-miR-1248	0	bta-mir-1248-2
bta-miR-1249	0	bta-mir-1249
bta-miR-124a	0	bta-mir-124a-1
bta-miR-124b	0	bta-mir-124a-1
bta-miR-124a	0	bta-mir-124a-2
bta-miR-124b	0	bta-mir-124a-2
bta-miR-124a	0	bta-mir-124b
bta-miR-124b	0	bta-mir-124b
bta-miR-1251	0	bta-mir-1251
bta-miR-1256	0	bta-mir-1256
bta-miR-125a	0	bta-mir-125a
bta-miR-125b	47	bta-mir-125b-1
bta-miR-125b	46	bta-mir-125b-2
bta-miR-126-5p	0	bta-mir-126
bta-miR-126-3p	0	bta-mir-126
bta-miR-1260b	0	bta-mir-1260b
bta-miR-127	0	bta-mir-127
bta-miR-1271	0	bta-mir-1271
bta-miR-1277	0	bta-mir-1277
bta-miR-128	41	bta-mir-128-1
bta-miR-128	14	bta-mir-128-2
bta-miR-1281	0	bta-mir-1281
bta-miR-1282	0	bta-mir-1282
bta-miR-1284	0	bta-mir-1284
bta-miR-1287	0	bta-mir-1287
bta-miR-129	0	bta-mir-129-1
bta-miR-129-5p	0	bta-mir-129-1
bta-miR-129	0	bta-mir-129-2
bta-miR-129-5p	0	bta-mir-129-2
bta-miR-129-3p	0	bta-mir-129-2
bta-miR-1291	0	bta-mir-1291
bta-miR-1296	0	bta-mir-1296
bta-miR-1298	0	bta-mir-1298
bta-miR-1301	0	bta-mir-1301
bta-miR-1306	1	bta-mir-1306
bta-miR-1307	0	bta-mir-1307
bta-miR-130a	0	bta-mir-130a
bta-miR-130b	0	bta-mir-130b
bta-miR-132	11	bta-mir-132
bta-miR-133a	0	bta-mir-133a-1
bta-miR-133a	0	bta-mir-133a-2
bta-miR-133b	0	bta-mir-133b
bta-miR-133c	0	bta-mir-133c
bta-miR-134	1	bta-mir-134
bta-miR-1343-5p	0	bta-mir-1343
bta-miR-1343-3p	0	bta-mir-1343
bta-miR-135a	2	bta-mir-135a-1
bta-miR-135a	2	bta-mir-135a-2
bta-miR-135b	0	bta-mir-135b
bta-miR-136	0	bta-mir-136
bta-miR-137	0	bta-mir-137
bta-miR-138	0	bta-mir-138-1
bta-miR-138	0	bta-mir-138-2
bta-miR-1388-5p	0	bta-mir-1388
bta-miR-1388-3p	0	bta-mir-1388
bta-miR-139	7	bta-mir-139
bta-miR-140	6	bta-mir-140
bta-miR-141	0	bta-mir-141
bta-miR-142-5p	0	bta-mir-142
bta-miR-142-3p	0	bta-mir-142
bta-miR-143	0	bta-mir-143
bta-miR-1434-5p	0	bta-mir-1434
bta-miR-1434-3p	0	bta-mir-1434
bta-miR-144	0	bta-mir-144
bta-miR-145	0	bta-mir-145
bta-miR-1468	0	bta-mir-1468
bta-miR-146a	53	bta-mir-146a
bta-miR-146b	61	bta-mir-146b
bta-miR-147	0	bta-mir-147
bta-miR-148a	338	bta-mir-148a
bta-miR-148b	17	bta-mir-148b
bta-miR-149-5p	0	bta-mir-149
bta-miR-149-3p	0	bta-mir-149
bta-miR-150	1	bta-mir-150
bta-miR-151-5p	2	bta-mir-151
bta-miR-151-3p	33	bta-mir-151
bta-miR-152	5	bta-mir-152
bta-miR-153	0	bta-mir-153-1
bta-miR-153	0	bta-mir-153-2
bta-miR-154a	0	bta-mir-154a
bta-miR-154b	0	bta-mir-154b
bta-miR-154c	0	bta-mir-154c
bta-miR-155	0	bta-mir-155
bta-miR-1584-5p	0	bta-mir-1584
bta-miR-1584-3p	0	bta-mir-1584
bta-miR-15a	0	bta-mir-15a
bta-miR-15b	5	bta-mir-15b
bta-miR-1603	0	bta-mir-1603
bta-miR-16a	16	bta-mir-16a
bta-miR-16b	26	bta-mir-16b
bta-miR-17-5p	8	bta-mir-17
bta-miR-17-3p	0	bta-mir-17
bta-miR-1721	0	bta-mir-1721
bta-miR-1777a	0	bta-mir-1777a
bta-miR-1777b	0	bta-mir-1777b
bta-miR-1814a	0	bta-mir-1814a
bta-miR-1814b	0	bta-mir-1814b
bta-miR-1814c	0	bta-mir-1814c
bta-miR-181a	1	bta-mir-181a-1
bta-miR-181a	1	bta-mir-181a-2
bta-miR-181b	0	bta-mir-181b-1
bta-miR-181b	0	bta-mir-181b-2
bta-miR-181c	0	bta-mir-181c
bta-miR-181d	1	bta-mir-181d
bta-miR-182	4	bta-mir-182
bta-miR-183	3	bta-mir-183
bta-miR-1835	0	bta-mir-1835
bta-miR-1839	16	bta-mir-1839
bta-miR-184	6	bta-mir-184
bta-miR-1842	0	bta-mir-1842
bta-miR-1843	0	bta-mir-1843
bta-miR-185	0	bta-mir-185
bta-miR-186	73	bta-mir-186
bta-miR-187	0	bta-mir-187
bta-miR-188	0	bta-mir-188
bta-miR-18a	0	bta-mir-18a
bta-miR-18b	0	bta-mir-18b
bta-miR-190a	0	bta-mir-190a
bta-miR-190b	6	bta-mir-190b
bta-miR-191	230	bta-mir-191
bta-miR-192	40	bta-mir-192
bta-miR-193a-5p	0	bta-mir-193a
bta-miR-193a-3p	0	bta-mir-193a
bta-miR-193a	0	bta-mir-193a-2
bta-miR-193b	0	bta-mir-193b
bta-miR-194	2	bta-mir-194-1
bta-miR-194	2	bta-mir-194-2
