#miRNA	read_count	precursor
bta-chr10_397_mt	1	bta-chr10_397
bta-chr10_397_st	1	bta-chr10_397
bta-chr10_473_mt	4	bta-chr10_473
bta-chr10_473_st	0	bta-chr10_473
bta-chr11_669_mt	1	bta-chr11_669
bta-chr11_669_st	0	bta-chr11_669
bta-chr11_673_mt	1	bta-chr11_673
bta-chr11_673_st	0	bta-chr11_673
bta-chr12_894_mt	8	bta-chr12_894
bta-chr12_894_st	0	bta-chr12_894
bta-chr13_1090_mt	1	bta-chr13_1090
bta-chr13_1090_st	0	bta-chr13_1090
bta-chr14_1462_mt	1	bta-chr14_1462
bta-chr14_1462_st	0	bta-chr14_1462
bta-chr15_1607_mt	1	bta-chr15_1607
bta-chr15_1607_st	0	bta-chr15_1607
bta-chr16_1848_mt	1	bta-chr16_1848
bta-chr16_1848_st	0	bta-chr16_1848
bta-chr17_2214_mt	1	bta-chr17_2214
bta-chr17_2214_st	0	bta-chr17_2214
bta-chr17_2246_mt	1	bta-chr17_2246
bta-chr17_2246_st	0	bta-chr17_2246
bta-chr18_2374_mt	1	bta-chr18_2374
bta-chr18_2374_st	0	bta-chr18_2374
bta-chr18_2378_mt	1	bta-chr18_2378
bta-chr18_2378_st	0	bta-chr18_2378
bta-chr18_2379_mt	1	bta-chr18_2379
bta-chr18_2379_st	0	bta-chr18_2379
bta-chr19_2625_mt	1	bta-chr19_2625
bta-chr19_2625_st	0	bta-chr19_2625
bta-chr1_158_mt	4	bta-chr1_158
bta-chr1_158_st	0	bta-chr1_158
bta-chr21_3026_mt	1	bta-chr21_3026
bta-chr21_3026_st	0	bta-chr21_3026
bta-chr21_3362_mt	2	bta-chr21_3362
bta-chr21_3362_st	0	bta-chr21_3362
bta-chr23_3703_mt	6	bta-chr23_3703
bta-chr23_3703_st	0	bta-chr23_3703
bta-chr25_4070_mt	3	bta-chr25_4070
bta-chr25_4070_st	0	bta-chr25_4070
bta-chr28_4425_mt	12	bta-chr28_4425
bta-chr28_4425_st	0	bta-chr28_4425
bta-chr2_2863_mt	1	bta-chr2_2863
bta-chr2_2863_st	0	bta-chr2_2863
bta-chr5_5363_mt	1	bta-chr5_5363
bta-chr5_5363_st	0	bta-chr5_5363
bta-chr8_6111_mt	1	bta-chr8_6111
bta-chr8_6111_st	0	bta-chr8_6111
bta-chr9_6235_mt	1	bta-chr9_6235
