#miRNA	read_count	precursor	total	F01	F02	F03	F01(norm)	F02(norm)	F03(norm)
bta-chr10_397_mt	1.00	bta-chr10_397	1.00	0	1.00	0	0	8.40	0
bta-chr10_397_st	1.00	bta-chr10_397	1.00	0	0	1.00	0	0	11.62
bta-chr10_473_mt	4.00	bta-chr10_473	4.00	0	2.00	2.00	0	16.81	23.23
bta-chr10_473_st	0.00	bta-chr10_473	0.00	0	0	0	0	0	0
bta-chr11_669_mt	1.00	bta-chr11_669	1.00	0	0	1.00	0	0	11.62
bta-chr11_669_st	0.00	bta-chr11_669	0.00	0	0	0	0	0	0
bta-chr11_673_mt	1.00	bta-chr11_673	1.00	1.00	0	0	9.96	0	0
bta-chr11_673_st	0.00	bta-chr11_673	0.00	0	0	0	0	0	0
bta-chr12_894_mt	8.00	bta-chr12_894	8.00	4.00	3.00	1.00	39.85	25.21	11.62
bta-chr12_894_st	0.00	bta-chr12_894	0.00	0	0	0	0	0	0
bta-chr13_1090_mt	1.00	bta-chr13_1090	1.00	1.00	0	0	9.96	0	0
bta-chr13_1090_st	0.00	bta-chr13_1090	0.00	0	0	0	0	0	0
bta-chr14_1462_mt	1.00	bta-chr14_1462	1.00	0	1.00	0	0	8.40	0
bta-chr14_1462_st	0.00	bta-chr14_1462	0.00	0	0	0	0	0	0
bta-chr15_1607_mt	1.00	bta-chr15_1607	1.00	0	0	1.00	0	0	11.62
bta-chr15_1607_st	0.00	bta-chr15_1607	0.00	0	0	0	0	0	0
bta-chr16_1848_mt	1.00	bta-chr16_1848	1.00	0	1.00	0	0	8.40	0
bta-chr16_1848_st	0.00	bta-chr16_1848	0.00	0	0	0	0	0	0
bta-chr17_2214_mt	1.00	bta-chr17_2214	1.00	1.00	0	0	9.96	0	0
bta-chr17_2214_st	0.00	bta-chr17_2214	0.00	0	0	0	0	0	0
bta-chr17_2246_mt	1.00	bta-chr17_2246	1.00	0	0	1.00	0	0	11.62
bta-chr17_2246_st	0.00	bta-chr17_2246	0.00	0	0	0	0	0	0
bta-chr18_2374_mt	1.00	bta-chr18_2374	1.00	1.00	0	0	9.96	0	0
bta-chr18_2374_st	0.00	bta-chr18_2374	0.00	0	0	0	0	0	0
bta-chr18_2378_mt	1.00	bta-chr18_2378	1.00	0	1.00	0	0	8.40	0
bta-chr18_2378_st	0.00	bta-chr18_2378	0.00	0	0	0	0	0	0
bta-chr18_2379_mt	1.00	bta-chr18_2379	1.00	0	1.00	0	0	8.40	0
bta-chr18_2379_st	0.00	bta-chr18_2379	0.00	0	0	0	0	0	0
bta-chr19_2625_mt	1.00	bta-chr19_2625	1.00	1.00	0	0	9.96	0	0
bta-chr19_2625_st	0.00	bta-chr19_2625	0.00	0	0	0	0	0	0
bta-chr1_158_mt	4.00	bta-chr1_158	4.00	1.00	1.00	2.00	9.96	8.40	23.23
bta-chr1_158_st	0.00	bta-chr1_158	0.00	0	0	0	0	0	0
bta-chr21_3026_mt	1.00	bta-chr21_3026	1.00	1.00	0	0	9.96	0	0
bta-chr21_3026_st	0.00	bta-chr21_3026	0.00	0	0	0	0	0	0
bta-chr21_3362_mt	2.00	bta-chr21_3362	2.00	0	2.00	0	0	16.81	0
bta-chr21_3362_st	0.00	bta-chr21_3362	0.00	0	0	0	0	0	0
bta-chr23_3703_mt	6.00	bta-chr23_3703	6.00	2.00	4.00	0	19.92	33.62	0
bta-chr23_3703_st	0.00	bta-chr23_3703	0.00	0	0	0	0	0	0
bta-chr25_4070_mt	3.00	bta-chr25_4070	3.00	1.00	2.00	0	9.96	16.81	0
bta-chr25_4070_st	0.00	bta-chr25_4070	0.00	0	0	0	0	0	0
bta-chr28_4425_mt	12.00	bta-chr28_4425	12.00	8.00	3.00	1.00	79.69	25.21	11.62
bta-chr28_4425_st	0.00	bta-chr28_4425	0.00	0	0	0	0	0	0
bta-chr2_2863_mt	1.00	bta-chr2_2863	1.00	0	1.00	0	0	8.40	0
bta-chr2_2863_st	0.00	bta-chr2_2863	0.00	0	0	0	0	0	0
bta-chr5_5363_mt	1.00	bta-chr5_5363	1.00	1.00	0	0	9.96	0	0
bta-chr5_5363_st	0.00	bta-chr5_5363	0.00	0	0	0	0	0	0
bta-chr8_6111_mt	1.00	bta-chr8_6111	1.00	0	0	1.00	0	0	11.62
bta-chr8_6111_st	0.00	bta-chr8_6111	0.00	0	0	0	0	0	0
bta-chr9_6235_mt	1.00	bta-chr9_6235	1.00	0	1.00	0	0	8.40	0
bta-chr9_6235_st	0.00	bta-chr9_6235	0.00	0	0	0	0	0	0
bta-chrX_6439_mt	1.00	bta-chrX_6439	1.00	1.00	0	0	9.96	0	0
bta-chrX_6439_st	0.00	bta-chrX_6439	0.00	0	0	0	0	0	0
bta-chrX_6479_mt	4.00	bta-chrX_6475	4.00	0	3.00	1.00	0	25.21	11.62
bta-chrX_6475_mt	4.00	bta-chrX_6475	4.00	0	3.00	1.00	0	25.21	11.62
bta-chrX_6475_st	0.00	bta-chrX_6475	0.00	0	0	0	0	0	0
bta-chrX_6479_mt	4.00	bta-chrX_6479	4.00	0	3.00	1.00	0	25.21	11.62
bta-chrX_6475_mt	4.00	bta-chrX_6479	4.00	0	3.00	1.00	0	25.21	11.62
bta-chrX_6479_st	0.00	bta-chrX_6479	0.00	0	0	0	0	0	0
bta-chrX_6561_mt	1.00	bta-chrX_6561	1.00	0	1.00	0	0	8.40	0
bta-chrX_6561_st	0.00	bta-chrX_6561	0.00	0	0	0	0	0	0
bta-chrX_6576_mt	6.00	bta-chrX_6576	6.00	2.00	4.00	0	19.92	33.62	0
bta-chrX_6576_st	0.00	bta-chrX_6576	0.00	0	0	0	0	0	0
cel-let-7-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
hsa-let-7a-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
hsa-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
dme-let-7-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
cbr-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
mmu-let-7a-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
mmu-let-7a-1-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
mmu-let-7c-2-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
rno-let-7a-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
rno-let-7a-1-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
rno-let-7c-2-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
gga-let-7a-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
gga-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
gga-let-7j-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
gga-let-7k-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
dps-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
dre-let-7a	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
fru-let-7a	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
tni-let-7a	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
xtr-let-7a	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
bmo-let-7-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
bta-let-7a-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
mdo-let-7a-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
bta-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
ame-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
oan-let-7e-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
mml-let-7a-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
mml-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
cfa-let-7a	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
ptr-let-7a	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
tca-let-7-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
dan-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
der-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
dgr-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
dmo-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
dpe-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
dse-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
dsi-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
dvi-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
dwi-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
dya-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
bfl-let-7a-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
cte-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
lgi-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
sko-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
crm-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
ppc-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
isc-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
eca-let-7a	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
ssc-let-7a	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
bma-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
tgu-let-7e-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
tgu-let-7a-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
tgu-let-7a-1-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
nvi-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
ppy-let-7a	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
ngi-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
pma-let-7a	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
asu-let-7-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
aca-let-7a-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
aca-let-7e-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
aca-let-7f-1-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
ola-let-7a-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
ola-let-7a	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
sha-let-7a	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
cgr-let-7a	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
ggo-let-7a	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
mse-let-7a	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
ccr-let-7a	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
ipu-let-7a	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
cbn-let-7	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
oar-let-7a	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
prd-let-7-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
bbe-let-7a-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
ssa-let-7a-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
ssa-let-7e-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
chi-let-7a-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
chi-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
tch-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
oha-let-7a	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
oha-let-7a-5p	193.00	bta-let-7a-1	193.00	35.00	93.00	65.00	348.66	781.61	755.04
oha-let-7a-2-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
oha-let-7f-1-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
oha-let-7e-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	29.89	8.40	11.62
cel-let-7-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
hsa-let-7a-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
hsa-let-7a-2-3p	0.00	bta-let-7a-2	0.00	0	0	0	0	0	0
dme-let-7-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
cbr-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
mmu-let-7a-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
mmu-let-7a-2-3p	0.00	bta-let-7a-2	0.00	0	0	0	0	0	0
rno-let-7a-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
rno-let-7a-2-3p	0.00	bta-let-7a-2	0.00	0	0	0	0	0	0
gga-let-7a-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
