#miRNA	read_count
bta-chr10_363_st	0
bta-chr11_529_st	0
bta-chr11_533_st	0
bta-chr12_722_st	0
bta-chr13_860_st	0
bta-chr14_1138_st	0
bta-chr14_1140_st	0
bta-chr16_1458_st	0
bta-chr17_1768_st	0
bta-chr17_1798_st	0
bta-chr18_1910_st	0
bta-chr18_1914_st	0
bta-chr18_1915_st	0
bta-chr19_2104_st	0
bta-chr19_2125_st	0
bta-chr1_124_st	0
bta-chr1_29_st	0
bta-chr20_2402_st	0
bta-chr21_2730_st	0
bta-chr23_2994_st	0
bta-chr23_2997_st	0
bta-chr23_3016_st	0
bta-chr25_3286_st	0
bta-chr26_3391_st	0
bta-chr28_3569_st	0
bta-chr2_2311_st	0
bta-chr5_4049_st	0
bta-chr9_4993_st	0
bta-chrX_5169_st	0
bta-chrX_5199_st	0
bta-chrX_5195_st	0
bta-chrX_5199_st	0
bta-chrX_5195_st	0
bta-chrX_5274_st	0
hsa-let-7a-2-3p	0
mmu-let-7a-2-3p	0
rno-let-7a-2-3p	0
mdo-let-7a-3p	0
mml-let-7a-2-3p	0
aca-let-7c-2-3p	0
ssa-let-7a-3p	0
cpi-let-7c-2-3p	0
ami-let-7c-2-3p	0
oha-let-7c-1-3p	0
pal-let-7a-2-3p	0
cgr-let-7a-2	0
gmo-let-7a-3p	0
cpo-let-7a-2-3p	0
dno-let-7c-2-3p	0
tgu-let-7b-3p	0
aca-let-7b-3p	0
pol-let-7b-3p	0
pol-let-7a-3p	0
cli-let-7b-3p	0
oha-let-7b-3p	0
hsa-let-7c-3p	0
mmu-let-7c-1-3p	0
rno-let-7c-1-3p	0
gga-let-7c-3p	0
dre-let-7c-3p	0
dre-let-7d-3p	0
mml-let-7c-3p	0
tgu-let-7c-3p	0
aca-let-7c-1-3p	0
cgr-let-7c	0
pol-let-7d-3p	0
oan-let-7c-3p	0
ssa-let-7c-3p	0
ssa-let-7d-3p	0
cpi-let-7c-3p	0
ami-let-7c-3p	0
cli-let-7c-3p	0
pbv-let-7c-3p	0
chi-let-7c-3p	0
oha-let-7c-3-3p	0
pal-let-7c-3p	0
gmo-let-7c-3p	0
gmo-let-7d-3p	0
xla-let-7c-3p	0
cpo-let-7c-3p	0
dno-let-7c-3p	0
ocu-let-7c-3p	0
hsa-let-7e-3p	0
mmu-let-7e-3p	0
rno-let-7e-3p	0
mml-let-7e-3p	0
chi-let-7e-3p	0
pal-let-7e-3p	0
cgr-let-7e	0
cpo-let-7e-3p	0
hsa-let-7f-1-3p	0
mmu-let-7f-1-3p	0
rno-let-7f-1-3p	0
gga-let-7f-3p	0
