#miRNA	read_count	precursor	total	F01	F02	F03	F01(norm)	F02(norm)	F03(norm)
bta-chr10_363_mt	4.00	bta-chr10_363	4.00	0	2.00	2.00	0	8.54	11.66
bta-chr10_363_st	0.00	bta-chr10_363	0.00	0	0	0	0	0	0
bta-chr11_529_mt	1.00	bta-chr11_529	1.00	0	0	1.00	0	0	5.83
bta-chr11_529_st	0.00	bta-chr11_529	0.00	0	0	0	0	0	0
bta-chr11_533_mt	1.00	bta-chr11_533	1.00	1.00	0	0	5.03	0	0
bta-chr11_533_st	0.00	bta-chr11_533	0.00	0	0	0	0	0	0
bta-chr12_722_mt	8.00	bta-chr12_722	8.00	4.00	3.00	1.00	20.12	12.81	5.83
bta-chr12_722_st	0.00	bta-chr12_722	0.00	0	0	0	0	0	0
bta-chr12_731_mt	12.00	bta-chr12_731	12.00	2.00	6.00	4.00	10.06	25.62	23.33
bta-chr12_731_st	1.00	bta-chr12_731	1.00	0	0	1.00	0	0	5.83
bta-chr13_860_mt	1.00	bta-chr13_860	1.00	1.00	0	0	5.03	0	0
bta-chr13_860_st	0.00	bta-chr13_860	0.00	0	0	0	0	0	0
bta-chr14_1138_mt	1.00	bta-chr14_1138	1.00	0	1.00	0	0	4.27	0
bta-chr14_1138_st	0.00	bta-chr14_1138	0.00	0	0	0	0	0	0
bta-chr14_1140_mt	1.00	bta-chr14_1140	1.00	1.00	0	0	5.03	0	0
bta-chr14_1140_st	0.00	bta-chr14_1140	0.00	0	0	0	0	0	0
bta-chr16_1458_mt	1.00	bta-chr16_1458	1.00	0	1.00	0	0	4.27	0
bta-chr16_1458_st	0.00	bta-chr16_1458	0.00	0	0	0	0	0	0
bta-chr17_1768_mt	1.00	bta-chr17_1768	1.00	1.00	0	0	5.03	0	0
bta-chr17_1768_st	0.00	bta-chr17_1768	0.00	0	0	0	0	0	0
bta-chr17_1798_mt	1.00	bta-chr17_1798	1.00	0	0	1.00	0	0	5.83
bta-chr17_1798_st	0.00	bta-chr17_1798	0.00	0	0	0	0	0	0
bta-chr18_1910_mt	1.00	bta-chr18_1910	1.00	1.00	0	0	5.03	0	0
bta-chr18_1910_st	0.00	bta-chr18_1910	0.00	0	0	0	0	0	0
bta-chr18_1914_mt	1.00	bta-chr18_1914	1.00	0	1.00	0	0	4.27	0
bta-chr18_1914_st	0.00	bta-chr18_1914	0.00	0	0	0	0	0	0
bta-chr18_1915_mt	1.00	bta-chr18_1915	1.00	0	1.00	0	0	4.27	0
bta-chr18_1915_st	0.00	bta-chr18_1915	0.00	0	0	0	0	0	0
bta-chr19_2104_mt	1.00	bta-chr19_2104	1.00	1.00	0	0	5.03	0	0
bta-chr19_2104_st	0.00	bta-chr19_2104	0.00	0	0	0	0	0	0
bta-chr19_2125_mt	1.00	bta-chr19_2125	1.00	1.00	0	0	5.03	0	0
bta-chr19_2125_st	0.00	bta-chr19_2125	0.00	0	0	0	0	0	0
bta-chr1_124_mt	4.00	bta-chr1_124	4.00	1.00	1.00	2.00	5.03	4.27	11.66
bta-chr1_124_st	0.00	bta-chr1_124	0.00	0	0	0	0	0	0
bta-chr1_29_mt	2.00	bta-chr1_29	2.00	0	2.00	0	0	8.54	0
bta-chr1_29_st	0.00	bta-chr1_29	0.00	0	0	0	0	0	0
bta-chr20_2402_mt	120.00	bta-chr20_2402	120.00	45.00	41.00	34.00	226.38	175.06	198.28
bta-chr20_2402_st	0.00	bta-chr20_2402	0.00	0	0	0	0	0	0
bta-chr21_2730_mt	2.00	bta-chr21_2730	2.00	0	2.00	0	0	8.54	0
bta-chr21_2730_st	0.00	bta-chr21_2730	0.00	0	0	0	0	0	0
bta-chr23_2994_mt	12.00	bta-chr23_2994	12.00	5.00	2.00	5.00	25.15	8.54	29.16
bta-chr23_2994_st	0.00	bta-chr23_2994	0.00	0	0	0	0	0	0
bta-chr23_2997_mt	7.00	bta-chr23_2997	7.00	2.00	5.00	0	10.06	21.35	0
bta-chr23_2997_st	0.00	bta-chr23_2997	0.00	0	0	0	0	0	0
